Id,Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Temp,Humi,pitch,roll,yaw
1,0,-0.004869243,-0.05203046,1.000774,52.79007,-580.1721,-223.4263,-0.1590818,0.652838,-0.0135072,28.86403,53.58262,0,0,0
2,0.005,-0.001713471,-0.05123935,0.9989192,39.74069,-588.6259,-226.007,-0.1529534,0.6566569,-0.01685108,28.85034,53.57277,0,0,0
3,0.01,-0.003696596,-0.05151472,1.000615,-27.693,-544.8901,-241.2444,-0.1485768,0.6603412,-0.01800888,28.8414,53.5696,0,0,0
4,0.015,-0.0006268932,-0.04975462,0.9973409,102.7536,-585.2576,-276.4706,-0.1458696,0.6572743,-0.01407525,28.83724,53.57303,0,0,0
5,0.02,-0.004645326,-0.051273,1.000716,153.9007,-515.5288,-248.8163,-0.1470765,0.6528376,-0.009004729,28.83772,53.58269,0,0,0
6,0.025,-0.002137648,-0.05189779,1.000839,143.2284,-561.5787,-213.7078,-0.1518062,0.6501974,-0.007952385,28.84257,53.59802,0,0,0
7,0.03,-0.004661913,-0.05119777,1.000781,197.6071,-561.9854,-223.8033,-0.1560803,0.6528376,-0.01050572,28.85138,53.61829,0,0,0
8,0.035,-0.003863097,-0.05031227,0.9982395,83.1653,-588.5283,-245.9855,-0.1538856,0.6536291,-0.01344212,28.86364,53.64261,0,0,0
9,0.04,-0.007403169,-0.05010084,0.9984176,155.3381,-529.7501,-235.5881,-0.147076,0.6528376,-0.01650872,28.87877,53.67001,0,0,0
10,0.045,-0.003635077,-0.05003244,0.9985973,78.77164,-596.598,-248.887,-0.1423669,0.6502716,-0.01959616,28.89613,53.6995,0,0,0
11,0.05,-0.00708082,-0.05237158,1.002015,20.61463,-551.2159,-243.4475,-0.1455761,0.6513369,-0.01950946,28.91503,53.73003,0,0,0
12,0.055,-0.004768446,-0.05040938,0.996083,1.346614,-631.575,-272.2448,-0.1533492,0.6518517,-0.01450431,28.93479,53.76057,0,0,0
13,0.06,-0.006359089,-0.05098598,0.9984148,53.21001,-584.4829,-283.4361,-0.159082,0.6513367,-0.009004747,28.95398,53.7888,0,0,0
14,0.065,-0.003783551,-0.04945895,0.9948468,34.375,-579.8608,-224.7512,-0.1583631,0.6474797,-0.008034538,28.96618,53.8032,0,0,0
15,0.07,-0.006203297,-0.05196842,1.001062,-55.83899,-576.5766,-256.5948,-0.1545798,0.6468349,-0.01050543,28.97644,53.81345,0,0,0
16,0.075,-0.002152492,-0.04977774,0.9950234,34.43063,-592.9003,-255.7728,-0.1520586,0.6482776,-0.01174496,28.98449,53.81942,0,0,0
17,0.08,-0.003485386,-0.05126698,0.9987351,83.10435,-541.3335,-277.0637,-0.1530793,0.6513368,-0.01050534,28.99023,53.82128,0,0,0
18,0.085,-0.001333961,-0.0494814,0.9911315,80.95528,-534.89,-330.3668,-0.1549709,0.6503746,-0.008925557,28.99367,53.81944,0,0,0
19,0.09,-0.003498106,-0.05016697,0.9978766,3.199739,-572.2654,-173.753,-0.1560806,0.6498364,-0.009005104,28.99496,53.81447,0,0,0
20,0.095,-0.001893732,-0.04966888,0.9946216,20.32545,-609.9891,-190.6193,-0.1550378,0.6503688,-0.01158406,28.99434,53.80716,0,0,0
